date,value_in_pln
2020-08-11 15:38:01.665437,4.4012
2020-08-11 15:38:03.693286,4.4008
2020-08-11 15:38:05.637241,4.4005
2020-08-11 15:38:07.204852,4.401
2020-08-11 15:38:08.810869,4.401
2020-08-11 15:38:10.446030,4.4006
2020-08-11 15:38:12.030957,4.4005
2020-08-11 15:38:13.629304,4.4005
2020-08-11 15:38:15.206443,4.4005
2020-08-11 15:38:16.922349,4.4014
2020-08-11 15:38:18.438187,4.3997
2020-08-11 15:38:20.077762,4.4005
